N,P,K,temperature,humidity,ph,rainfall,label
78.56,46.62,39.44,25.25495931,81.36205858,5.75132329,249.29273376,rice
77.33,46.26,40.58,24.08074434,87.81779343,6.82831825,240.4202871,rice
72.62,39.88,41.23,26.77770207,82.20828432,6.44683835,257.27104882,rice
65.46,45.5,42.45,25.68351096,80.79685164,6.68829993,245.92853797,rice
87.82,39.09,42.84,19.71369902,68.90027289,6.19655464,199.36759815,rice
88.76,53.31,33.9,25.61840356,76.98898588,6.45687808,224.24400888,rice
81.14,54.55,43.19,24.37471275,85.24974049,6.73924602,210.92058139,rice
72.83,44.24,42.5,22.87471107,93.67877111,6.09035373,192.045016,rice
87.68,59.37,42.53,25.58954336,89.13172489,6.45298626,179.08164267,rice
74.68,55.62,32.78,23.5838283,83.2661868,6.34220392,264.94527945,rice
85.81,66.57,43.1,21.97649135,79.19101204,6.08420945,274.09094239,rice
74.33,47.44,43.75,21.69134252,80.53171018,5.57935687,192.70085524,rice
74.32,51.33,45.97,23.45383297,83.3068214,6.58398468,279.38964454,rice
88.93,50.19,34.95,25.75846329,83.90523564,7.11347077,234.80373629,rice
99.53,45.13,47.97,23.78779743,79.41865495,5.93577606,229.95877794,rice
94.23,54.53,43.44,17.56031857,85.55482102,6.77792621,214.00294862,rice
73.73,47.98,48.62,20.86224825,79.86097483,7.18089238,218.15396802,rice
76.36,48.78,33.79,24.04986358,75.95191202,6.94259916,236.12723291,rice
102.83,50.25,46.83,20.24184007,81.38930328,6.66157283,305.82883673,rice
63.19,55.92,42.96,27.33386549,85.56192759,6.52603559,215.13401398,rice
67.52,49.56,39.04,28.55066835,78.94487586,6.66019592,173.23994321,rice
76.05,50.09,44.12,27.12025422,81.77925912,5.94137756,254.31401598,rice
85.17,51.93,36.5,26.33346099,82.43947955,6.84991231,286.9629296,rice
86.09,50.29,50.76,24.1092576,80.52017884,6.55598352,295.31074674,rice
81.19,52.16,45.98,22.21785347,73.36715115,6.64971158,245.18939178,rice
73.92,54.97,43.04,21.01251895,84.59109222,6.40194752,176.67898919,rice
84.53,47.64,36.27,24.80736397,84.44046636,6.21123141,252.01408762,rice
90.15,42.3,41.9,23.50688938,93.33005155,5.56884851,263.81135726,rice
76.94,47.2,49.51,23.47856712,93.20471852,6.27892602,250.02048165,rice
75.09,42.47,40.31,22.79357119,83.01245792,5.44748607,316.09870754,rice
78.33,61.94,34.96,24.23133926,97.82471051,6.06513541,176.18800908,rice
74.53,51.78,43.47,26.72591672,80.71493801,5.69887462,218.59880782,rice
92.4,51.73,30.22,23.41237122,88.99084046,7.56327407,258.46746555,rice
83.09,38.08,35.78,23.61728964,84.5159887,6.7900921,216.87165779,rice
68.48,41.78,34.22,25.10852296,70.43859447,6.33336099,253.99513328,rice
95.22,48.57,45.01,22.50248982,78.27798007,6.16280348,297.09343128,rice
89.94,51.9,56.65,23.41914657,85.10174826,6.65379578,227.1245724,rice
103.16,60.05,33.0,22.50038419,84.14168269,6.89159161,182.06211721,rice
57.44,32.75,39.64,23.24199205,83.72609688,6.11516261,187.03049296,rice
59.77,50.63,41.85,25.98248418,85.95397844,6.40464221,289.97043851,rice
78.64,42.71,37.4,22.03797089,71.1713164,6.57816303,245.99542367,rice
76.38,42.29,41.86,27.79217647,82.19127576,6.2461832,212.3421119,rice
79.3,37.88,39.37,23.65295566,91.22339344,6.97173688,277.36116943,rice
72.87,53.36,34.3,24.27990174,84.0936863,6.11679529,315.97519221,rice
85.67,32.78,42.76,22.48147045,82.00688108,6.7328824,251.62130669,rice
59.61,38.73,43.86,26.75301062,91.51576443,7.40158412,153.77853581,rice
87.69,32.67,48.07,24.13337351,76.29415606,7.50495047,261.75883481,rice
61.09,50.35,36.34,23.7782387,79.67402693,7.18674694,179.06854447,rice
83.17,62.51,35.87,24.02662169,83.0100082,6.15514891,261.91574491,rice
80.97,40.45,48.81,25.47903749,81.16446527,6.18166262,204.62549511,rice
92.31,46.83,42.3,23.03885825,85.08204735,6.44201043,266.5541549,rice
78.17,54.64,43.36,23.2084755,77.7011138,6.02994,206.37052719,rice
70.16,54.93,39.77,27.42525244,93.39664914,6.51211124,174.07931191,rice
76.19,47.4,32.56,22.87376681,83.43473155,6.27028608,205.26296308,rice
72.41,62.29,39.2,21.42517471,80.13550805,6.97717185,208.61247824,rice
84.82,53.82,43.75,26.99923668,79.2475901,7.06636643,204.28585601,rice
76.03,57.57,44.11,23.50524388,76.04293087,6.78082991,210.78509202,rice
70.76,42.81,41.23,18.19741974,83.80381577,6.58695481,212.6189439,rice
